2025-04-01 08:09:08 [INFO] === Start experiment with 30 runs ===
2025-04-01 08:09:44 [INFO] Configurazione salvata in: output/20250401_080908/config.json
2025-04-01 08:09:44 [INFO] --- Avvio run 1/30 con random_state=42 ---
2025-04-01 08:09:47 [INFO] --- Avvio run 2/30 con random_state=43 ---
2025-04-01 08:09:50 [INFO] --- Avvio run 3/30 con random_state=44 ---
2025-04-01 08:09:53 [INFO] --- Avvio run 4/30 con random_state=45 ---
2025-04-01 08:09:55 [INFO] --- Avvio run 5/30 con random_state=46 ---
2025-04-01 08:09:59 [INFO] --- Avvio run 6/30 con random_state=47 ---
2025-04-01 08:10:02 [INFO] --- Avvio run 7/30 con random_state=48 ---
2025-04-01 08:10:06 [INFO] --- Avvio run 8/30 con random_state=49 ---
2025-04-01 08:10:10 [INFO] --- Avvio run 9/30 con random_state=50 ---
2025-04-01 08:10:14 [INFO] --- Avvio run 10/30 con random_state=51 ---
2025-04-01 08:10:18 [INFO] --- Avvio run 11/30 con random_state=52 ---
2025-04-01 08:10:22 [INFO] --- Avvio run 12/30 con random_state=53 ---
2025-04-01 08:10:27 [INFO] --- Avvio run 13/30 con random_state=54 ---
2025-04-01 08:10:31 [INFO] --- Avvio run 14/30 con random_state=55 ---
2025-04-01 08:10:38 [INFO] --- Avvio run 15/30 con random_state=56 ---
2025-04-01 08:10:41 [INFO] --- Avvio run 16/30 con random_state=57 ---
2025-04-01 08:10:45 [INFO] --- Avvio run 17/30 con random_state=58 ---
2025-04-01 08:10:53 [INFO] --- Avvio run 18/30 con random_state=59 ---
2025-04-01 08:11:05 [INFO] --- Avvio run 19/30 con random_state=60 ---
2025-04-01 08:11:12 [INFO] --- Avvio run 20/30 con random_state=61 ---
2025-04-01 08:11:17 [INFO] --- Avvio run 21/30 con random_state=62 ---
2025-04-01 08:11:19 [INFO] --- Avvio run 22/30 con random_state=63 ---
2025-04-01 08:11:21 [INFO] --- Avvio run 23/30 con random_state=64 ---
2025-04-01 08:11:24 [INFO] --- Avvio run 24/30 con random_state=65 ---
2025-04-01 08:11:30 [INFO] --- Avvio run 25/30 con random_state=66 ---
2025-04-01 08:11:33 [INFO] --- Avvio run 26/30 con random_state=67 ---
2025-04-01 08:11:35 [INFO] --- Avvio run 27/30 con random_state=68 ---
2025-04-01 08:11:38 [INFO] --- Avvio run 28/30 con random_state=69 ---
2025-04-01 08:11:41 [INFO] --- Avvio run 29/30 con random_state=70 ---
2025-04-01 08:11:43 [INFO] --- Avvio run 30/30 con random_state=71 ---
2025-04-01 08:11:46 [INFO] === CV Mean Accuracy su 30 run: 0.7597 +/- 0.0469 ===
